name,filer_url,filer_id,office,district,party
Cherri L Crockett,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxsbp1jrm,f_01kf4eat87emk8zw7zxsbp1jrm,Register of Deeds,-,Republican
Cheryl A Golek,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803b1rxvvz,f_01kf4eat87emk8zw803b1rxvvz,Representative,99,Democratic
Cheryl Hewes,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjxc6qyvf5hb3rnjp3hrypzg,f_01kjxc6qyvf5hb3rnjp3hrypzg,Senator,7,Republican
Chester B. Grover III,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxhdfxmn7,f_01kf4eat87emk8zw7zxhdfxmn7,Representative,47,Republican
Chris P Austin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0catda4wkv,f_01kd8w6ftweefsxt0catda4wkv,Representative,43,Republican
Christina Mitchell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7p4z7gecdv7wkwc3ekmxyn,f_01kh7p4z7gecdv7wkwc3ekmxyn,Representative,110,Democratic
Christopher Alfred Lewey,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbwrd7k2b,f_01kd8w6ftve6dak61qbwrd7k2b,Representative,82,Democratic
Christopher Easton,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh540px5fc9t4q0ydv9wpgg3,f_01kh540px5fc9t4q0ydv9wpgg3,Representative,81,Democratic
Christopher J Davis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805782mwdd,f_01kf4eat87emk8zw805782mwdd,County Treasurer,-,Republican
Christopher Robert Wainwright,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80003zr9yr,f_01kf4eat87emk8zw80003zr9yr,Sheriff,-,Republican
Clifford Noyes,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kp65hmj3f0cvb6rz3yxfgbcz,f_01kp65hmj3f0cvb6rz3yxfgbcz,Representative,15,Unenrolled
Clifton Foster,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kpy22g9kfxfsg5vmxwpdc3py,f_01kpy22g9kfxfsg5vmxwpdc3py,Representative,36,Democratic
Clinton  Brooks,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkyf9r4feyct0155j1gyz7as,f_01kkyf9r4feyct0155j1gyz7as,Representative,76,Unenrolled
Clinton Collamore,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805hf3gecd,f_01kf4eat87emk8zw805hf3gecd,Representative,45,Unenrolled
Clinton Phinney Jr.,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh991tnqfths1f70tf6e9k5x,f_01kh991tnqfths1f70tf6e9k5x,Representative,141,Republican
Colleen O'Neal,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkvygx9gf1ta57q9yq2rxhqe,f_01kkvygx9gf1ta57q9yq2rxhqe,Representative,22,Republican
Coreene Baumann,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn2atgw5e15bsrq1t53wnzvk,f_01kn2atgw5e15bsrq1t53wnzvk,County Commissioner,7,Republican
Corey Leigh Bagley,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758nwg004qj,f_01k89h8gchec793758nwg004qj,Sheriff,-,Republican
Corey Pearson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01ktsawydbezrs82mxd7f2zgf9,f_01ktsawydbezrs82mxd7f2zgf9,Register of Probate,-,Unenrolled
Corey Stephen Bouchard,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q9ybkaw91,f_01kd8w6ftve6dak61q9ybkaw91,Representative,88,Democratic
Corinna Cole,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808gp5h03v,f_01kf4eat87emk8zw808gp5h03v,Representative,144,Unenrolled
Cory Raymond,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7sp9p3fgtv5kbpq4t939pj,f_01kh7sp9p3fgtv5kbpq4t939pj,Representative,41,Republican
Courtney Hammond,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knsxgd32exkaasy7fqy4zz0g,f_01knsxgd32exkaasy7fqy4zz0g,County Commissioner,3,Republican
Craig Hickman,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdg9yraz62,f_01k89h8gcjegf9qpwdg9yraz62,Senator,14,Democratic
Cynthia Soma-Hernandez,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kka0qrbsfzdrf7brrnbrkkfa,f_01kka0qrbsfzdrf7brrnbrkkfa,Representative,72,Democratic
Cyprien Johnson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01ktbyjkrqfkns66vs431he3hq,f_01ktbyjkrqfkns66vs431he3hq,County Commissioner,4,Unenrolled
Dakota Dupuis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc75rhqq8,f_01kd8w6ftve6dak61qc75rhqq8,Sheriff,-,Democratic
Dale John Crafts,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwbq9rs0h,f_01kf4eat87emk8zw7zwbq9rs0h,Representative,97,Republican
Dale Lancaster,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khbnz3c0f0cstjddv300v4at,f_01khbnz3c0f0cstjddv300v4at,Sheriff,-,Unenrolled
Dana Marie Appleby,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn23339keq8v2thmj33r5qvt,f_01kn23339keq8v2thmj33r5qvt,Representative,1,Democratic
Dana Staples,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh530xyse9pa9c702nb29aea,f_01kh530xyse9pa9c702nb29aea,Representative,88,Democratic
Daniel Daley,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh6fdw5qeyvawhm7btwkzv86,f_01kh6fdw5qeyvawhm7btwkzv86,Representative,10,Republican
Daniel Joseph Ankeles,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvwcwrnvd,f_01kf4eat87emk8zw7zvwcwrnvd,Representative,100,Democratic
Daniel LaPointe,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh93ky4pf5psgxm3p8nyaqs1,f_01kh93ky4pf5psgxm3p8nyaqs1,Representative,24,Republican
Daniel Sayre,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdwd3tm92,f_01kd8w6ftve6dak61qdwd3tm92,Senator,34,Democratic
Daniel Simonds,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn2940f1eecb81xcpeyj53wf,f_01kn2940f1eecb81xcpeyj53wf,Representative,73,Democratic
Daniel Whitney,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkd3cj4ceb39k07qfg9cnmea,f_01kkd3cj4ceb39k07qfg9cnmea,County Treasurer,-,Republican
Dani O'Halloran,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zyty4t5nc,f_01kf4eat87emk8zw7zyty4t5nc,Representative,20,Democratic
Danny E Costain,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758q5em2y1d,f_01k89h8gchec793758q5em2y1d,Senator,3,Republican
Darlene Perry,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kqcm6156evmtasdwjv3z2gn4,f_01kqcm6156evmtasdwjv3z2gn4,Register of Probate,-,Republican
David Corbett,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn08ehd0ex7990b1a167vb08,f_01kn08ehd0ex7990b1a167vb08,Sheriff,-,Republican
David Duguay,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kqsn38yhf6sbk53n7tfpb3rs,f_01kqsn38yhf6sbk53n7tfpb3rs,Senator,19,Unenrolled
David G. Haggan,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80332jnkf9,f_01kf4eat87emk8zw80332jnkf9,Senator,10,Republican
David Giles,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758rg3x0h7a,f_01k89h8gchec793758rg3x0h7a,Representative,27,Republican
David H. McCrea,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8044fd19cs,f_01kf4eat87emk8zw8044fd19cs,Representative,3,Democratic
David J Foster,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdn7an4e1,f_01kd8w6ftve6dak61qdn7an4e1,Governor,-,Republican
David John Jones,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgpxwtedt,f_01k89h8gcjegf9qpwdgpxwtedt,Governor,-,Republican
David Marshall,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01krc3dqjwefz8ethv9yrd76ze,f_01krc3dqjwefz8ethv9yrd76ze,County Commissioner,3,Republican
David Potvin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knsyfdnsetyrcbw079p8sbz7,f_01knsyfdnsetyrcbw079p8sbz7,Representative,57,Republican
David Roland Mongeau II,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8wmzh7dy,f_01kd8w6ftve6dak61q8wmzh7dy,Representative,141,Unenrolled
David Sinclair,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7q2ysefn8tvdxq131wrxr4,f_01kh7q2ysefn8tvdxq131wrxr4,Representative,50,Democratic
David Ulrich,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kpr44cfhfsvv1rk0cy7p2rc0,f_01kpr44cfhfsvv1rk0cy7p2rc0,Representative,19,Democratic
"David Wayne Boyer, Jr.",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758pc2maqwk,f_01k89h8gchec793758pc2maqwk,Representative,87,Republican
David Wayne Guilmette,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0caxv1fsas,f_01kd8w6ftweefsxt0caxv1fsas,Representative,52,Republican
DEAN CRAY,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjfw883mfg58grpjdsqd46ee,f_01kjfw883mfg58grpjdsqd46ee,Representative,69,Republican
Deane Rykerson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc28b2kj0,f_01kd8w6ftve6dak61qc28b2kj0,Senator,35,Democratic
Dean LePage,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kna1kf0qeykvrk4ynzb3tgmg,f_01kna1kf0qeykvrk4ynzb3tgmg,Representative,139,Democratic
Debora Farnham,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjfq1cmjf3b9m3rgheh7cqnh,f_01kjfq1cmjf3b9m3rgheh7cqnh,Representative,35,Democratic
Denise Tepler,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zsb2b85fw,f_01kf4eat87emk8zw7zsb2b85fw,Senator,24,Democratic
Dennis Mahar,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn4h3hscettbpe1n5z0v65gk,f_01kn4h3hscettbpe1n5z0v65gk,Judge of Probate,-,Democratic
Derek Allen Levasseur,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qd6j9nk3m,f_01kd8w6ftve6dak61qd6j9nk3m,Governor,-,Unenrolled
Devan Arnold,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmr963pqesqrryyzjgg5yg4j,f_01kmr963pqesqrryyzjgg5yg4j,Representative,27,Democratic
Dexter 'Buzz' Bridges,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkvvwpprek3b2x5fyxvmbmpb,f_01kkvvwpprek3b2x5fyxvmbmpb,Representative,58,Republican
Diana Kushnar,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh520nqvfb49vj94drp9twss,f_01kh520nqvfb49vj94drp9twss,Representative,109,Republican
D. Michael Ray,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw804hsgnc0v,f_01kf4eat87emk8zw804hsgnc0v,Representative,40,Democratic
Domingo Torres,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kz3xbrc5fpxvvgkfq7knbv6n,f_01kz3xbrc5fpxvvgkfq7knbv6n,Representative,142,Republican
Donald Ardell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjtcvk1xe0nbttq47wp378rx,f_01kjtcvk1xe0nbttq47wp378rx,Representative,6,Republican
Donald Skillings,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kr17n3x7er1bzsksbm7n9p34,f_01kr17n3x7er1bzsksbm7n9p34,County Commissioner,2,Unenrolled
Donna Bailey,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qe088snh8,f_01kd8w6ftve6dak61qe088snh8,Senator,31,Democratic
Doris Ortiz,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khsb7fmkejbrfwnmv4pj98nk,f_01khsb7fmkejbrfwnmv4pj98nk,County Commissioner,2,Democratic
