filer_name,filer_url,total_contributions,total_monetary_contributions,total_inkind_contributions,total_expenditures,current_cash_balance,current_loan_balance,current_debt_balance,latest_filing_name,latest_filing_date,filing_period_end,scrape_date
Alexandros Orestis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdjh195cxy,1000.0,800.0,200.0,2011.01,11037.33,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Alfred Frank Schutz,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw806694vrsv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Alicia Barnes,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7aw325emnss1mkgk76stge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Alicia Collins,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758q3df2kqk,13301.02,12920.12,380.0,3666.74,9254.28,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Allen Anthony Daggett,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdf582ryp,3676.0,3676.0,0.0,2868.48,807.52,0.0,0.0,42-Day Post-Primary Report,06/27/2026,07/14/2026,2026-08-04
Allison Perkins,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmjvs0z8etxv8z67agwkd6hh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/23/2026,07/14/2026,2026-08-04
Amanda Collamore,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjgfpadxexg90c2ek2tbxz1d,5022.09,5022.09,0.0,476.69,4545.4,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Amanda Heath,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh53e0fcejjbpw9eztbr958y,3000.0,3000.0,0.0,5565.58,26580.47,0.0,1000.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Ambureen Rana,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7py2t8eptvk536vv6t74av,1000.0,1000.0,0.0,1172.92,7114.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Amy D. Kuhn,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6fbvnhaf,950.0,950.0,0.0,1798.97,1825.84,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Amy J Roeder,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805eq8wtes,3000.0,3000.0,0.0,6944.53,31830.47,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Andrew Gattine,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjve1c8tfaeav5bv9g3xmf4x,3226.31,3226.31,0.0,6.95,3219.36,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Andrew Laverdiere,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8r7chtftysh4585hd8v35v,138.22,100.0,38.22,66.28,33.72,0.0,0.0,42-Day Pre-Primary Report,06/22/2026,04/21/2026,2026-08-04
Andrew Parker,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khrk63bkfc9v8qct98rjbbxj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Andrew R. Torbett,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdm13m7rp3,3565.0,3563.0,0.0,1193.46,2371.54,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Andrew Zarro,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zq9knyrfg,3765.0,3765.0,0.0,117.8,3647.2,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
"Angus S. King, III",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgspj23sn,2065629.93,1311847.31,53782.62,2005254.36,6592.95,700000.0,0.0,42-Day Post-Primary Report,07/16/2026,07/14/2026,2026-08-04
Annalyse Sarvinas,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjx6x0s7ferb3wwth1va070z,1000.0,1000.0,0.0,2517.85,12368.14,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Anne Carney,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkq0f05cfr8vp4m31qgf7t43,193.17,193.17,0.0,0.0,193.17,0.0,0.0,42-Day Post-Primary Report,07/16/2026,07/14/2026,2026-08-04
Anne Graham,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7mxyq2ext9hgbpd5abe40f,600.0,600.0,0.0,642.78,7257.22,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Ann Higgins Matlack,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qabe2se84,0.0,0.0,0.0,2765.4,46259.6,0.0,0.0,42-Day Post-Primary MCEA Report,07/15/2026,07/14/2026,2026-08-04
Annie Christy,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkh53shrepdvrvfw6672kzns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Anthony M. Weaver,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk2107j5f2esb7c3vm6702mt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
April Fournier,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khgv684df34r8hv39qv2dx3n,871.0,871.0,0.0,30.5,840.5,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Arlie Hetrick Jr.,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjzxda0wf8pagve0ns51tw12,580.0,580.0,0.0,948.52,10191.48,0.0,379.5,42-Day Post-Primary MCEA Report,07/17/2026,07/14/2026,2026-08-04
Arthur K. Mingo,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkckhq5sexyt8cce350crze9,2705.29,2705.29,0.0,110.32,2594.97,0.0,0.0,42-Day Post-Primary Report,07/22/2026,07/14/2026,2026-08-04
Austin Theriault,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk20ee52fk8rxagvk7gwp6t0,28102.13,27711.78,390.35,856.62,26855.16,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Ayn Hanselmann,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8g9wepfwcvvr9evsxxerer,1000.0,1000.0,0.0,1891.88,6405.59,0.0,0.0,42-Day Post-Primary MCEA Report,07/22/2026,07/14/2026,2026-08-04
Azalea Cormier,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khcbzabeetvr2e4yqxtkcagb,1000.0,1000.0,0.0,1000.0,7300.0,0.0,44.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Barbara Anne Bagshaw,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zs70f1znk,1000.0,1000.0,0.0,5995.48,15504.52,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Benjamin Hymes,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk233d79f0h97c3x9xyvh6x3,2437.56,2437.56,0.0,806.69,1630.87,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Benjamin Midgley,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdj35cyd8c,1133469.0,338923.0,32046.0,1101379.15,43.85,762500.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Bernard Robert Porter,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803s9zw88e,2395.0,2395.0,0.0,0.0,2395.0,0.0,0.0,42-Day Post-Primary Report,07/22/2026,07/14/2026,2026-08-04
Billy Bob Faulkingham,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7rd5bjfyts6f6rnzy853jp,25620.0,25620.0,0.0,19391.76,6228.24,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Bradley Moulton,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7pnsy8f6qb2cav67pygv7f,50.0,50.0,0.0,229.0,8754.0,0.0,0.0,42-Day Post-Primary MCEA Report,08/03/2026,07/14/2026,2026-08-04
Bradley Youngs,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxf35wt3e,993.59,990.0,0.0,2783.67,10459.89,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Brady Alden Clark,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxa92m2rk,2006.2,2006.2,0.0,2001.2,5.0,0.0,0.0,42-Day Post-Primary Report,07/28/2026,07/14/2026,2026-08-04
Braeden Webber,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh546xgjef49evnsqb3g36an,1000.0,1000.0,0.0,1600.1,6698.9,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Bret Martel,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01ktkk3fn7ex2be7aaxr5zrwr8,2551.65,2551.65,0.0,544.05,2007.6,0.0,0.0,42-Day Post-Primary Report,07/27/2026,07/14/2026,2026-08-04
Brett Barrett,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kq04mb2dfkfrjc6tehd0w8ad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Brian Ames,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8h5wwzenxsm3mdk8j80eth,1000.0,1000.0,0.0,1812.33,14737.43,0.0,0.0,42-Day Post-Primary MCEA Report,07/18/2026,07/14/2026,2026-08-04
Brianna Lueck,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kp3fa4azfdm8rbczpey8gh6c,1000.0,1000.0,0.0,1548.02,6739.71,0.0,550.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Bruce Archer,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmg5m88kevv9sd8y3ygtbae2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Bruce Bickford,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8037vfnx57,3000.0,3000.0,0.0,5426.19,33348.81,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Caleb Joseph Chase,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802fs32kqw,995.0,995.0,0.0,3402.35,6517.97,0.0,0.0,2026 Seed Money Report - Legislative,07/21/2026,,2026-08-04
Caleb Joshua NESS,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qb17c3xm1,1000.0,1000.0,0.0,1523.5,11726.49,0.0,0.0,42-Day Post-Primary MCEA Report,07/22/2026,07/14/2026,2026-08-04
Cameron Reny,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802r6qsmqj,200.0,200.0,0.0,3837.37,52006.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/16/2026,07/14/2026,2026-08-04
Cassandra Anne Dove,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmg22ceqedqb23rhh00b24ed,250.0,250.0,0.0,212.15,37.85,0.0,0.0,42-Day Post-Primary Report,07/17/2026,07/14/2026,2026-08-04
Cassie L. Julia,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808v68x4xe,900.0,900.0,0.0,871.45,7300.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/17/2026,07/14/2026,2026-08-04
Catherine Gordon,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khpg6dw8fjssyrmdph7zehyg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Chad Richard Perkins,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdjyem3kpv,8524.84,8524.84,0.0,7570.69,954.15,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Chad Syphers,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knpwtd8kedya2qb543bk6y98,1000.0,1000.0,0.0,900.0,100.0,0.0,0.0,42-Day Post-Primary Report,07/14/2026,07/14/2026,2026-08-04
Charles Edward Tilburg,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9fdgtr40,1000.0,1000.0,0.0,2245.58,19249.96,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
"Charles Hippler, IV",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh9af49vfg4aa1zk0wwbfqdw,9833.75,5900.0,433.75,1728.26,7671.74,3500.0,0.0,42-Day Post-Primary Report,07/22/2026,07/14/2026,2026-08-04
Charlotte Nutt,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqh9vc9yv,1000.0,1000.0,0.0,2999.54,18487.68,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Cheryl A Golek,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803b1rxvvz,700.0,700.0,0.0,653.18,8986.91,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Cheryl Hewes,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjxc6qyvf5hb3rnjp3hrypzg,3000.0,3000.0,0.0,10192.24,21957.76,0.0,0.0,42-Day Post-Primary MCEA Report,08/02/2026,07/14/2026,2026-08-04
Chester B. Grover III,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zxhdfxmn7,1000.0,1000.0,0.0,4908.89,5037.97,0.0,0.0,42-Day Post-Primary MCEA Report,07/19/2026,07/14/2026,2026-08-04
Chris P Austin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0catda4wkv,5335.5,5302.86,32.64,3839.91,1462.95,0.0,0.0,42-Day Post-Primary Report,07/15/2026,07/14/2026,2026-08-04
Christina Mitchell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7p4z7gecdv7wkwc3ekmxyn,1000.0,1000.0,0.0,1428.95,16768.0,0.0,14467.0,42-Day Post-Primary MCEA Report,07/15/2026,07/14/2026,2026-08-04
Christopher Alfred Lewey,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbwrd7k2b,1000.0,1000.0,0.0,3357.59,18141.85,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Christopher Easton,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh540px5fc9t4q0ydv9wpgg3,1000.0,1000.0,0.0,2159.03,19340.89,0.0,0.0,42-Day Post-Primary MCEA Report,07/15/2026,07/14/2026,2026-08-04
Clifford Noyes,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kp65hmj3f0cvb6rz3yxfgbcz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/14/2026,07/14/2026,2026-08-04
Clifton Foster,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kpy22g9kfxfsg5vmxwpdc3py,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/28/2026,07/14/2026,2026-08-04
Clinton  Brooks,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkyf9r4feyct0155j1gyz7as,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Clinton Collamore,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805hf3gecd,5530.13,5530.13,0.0,2593.05,2937.08,0.0,0.0,42-Day Post-Primary Report,07/28/2026,07/14/2026,2026-08-04
Clinton Phinney Jr.,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh991tnqfths1f70tf6e9k5x,1000.0,1000.0,0.0,3900.0,425.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/17/2026,07/14/2026,2026-08-04
Corey Stephen Bouchard,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q9ybkaw91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Corinna Cole,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw808gp5h03v,50.0,50.0,0.0,209.24,7140.01,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Cory Raymond,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7sp9p3fgtv5kbpq4t939pj,3070.0,3070.0,0.0,1820.48,1249.52,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Craig Hickman,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdg9yraz62,13069.13,13069.13,0.0,2948.29,10120.84,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Cynthia Soma-Hernandez,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kka0qrbsfzdrf7brrnbrkkfa,819.47,819.47,0.0,966.67,7105.52,0.0,0.0,42-Day Post-Primary MCEA Report,07/14/2026,07/14/2026,2026-08-04
Dale John Crafts,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zwbq9rs0h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/30/2026,07/14/2026,2026-08-04
Dana Marie Appleby,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn23339keq8v2thmj33r5qvt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Dana Staples,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh530xyse9pa9c702nb29aea,1000.0,1000.0,0.0,3708.64,17791.36,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Daniel Daley,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh6fdw5qeyvawhm7btwkzv86,4865.4,400.0,0.0,7446.32,,3780.46,0.0,42-Day Post-Primary Report,07/15/2026,07/14/2026,2026-08-04
Daniel Joseph Ankeles,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvwcwrnvd,1000.0,1000.0,0.0,975.88,7300.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/14/2026,07/14/2026,2026-08-04
Daniel LaPointe,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh93ky4pf5psgxm3p8nyaqs1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
Daniel Sayre,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdwd3tm92,3000.0,3000.0,0.0,7382.56,51267.44,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Daniel Simonds,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kn2940f1eecb81xcpeyj53wf,1000.0,1000.0,0.0,1000.0,8950.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/28/2026,07/14/2026,2026-08-04
Dani O'Halloran,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zyty4t5nc,1000.0,1000.0,0.0,997.0,20500.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/21/2026,07/14/2026,2026-08-04
Danny E Costain,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758q5em2y1d,6760.65,4500.0,0.0,6760.55,0.1,2260.65,0.0,42-Day Post-Primary Report,07/22/2026,07/14/2026,2026-08-04
David Duguay,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kqsn38yhf6sbk53n7tfpb3rs,5100.0,0.0,0.0,1026.52,4073.48,5100.0,0.0,42-Day Post-Primary Report,07/17/2026,07/14/2026,2026-08-04
David G. Haggan,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw80332jnkf9,3000.0,3000.0,0.0,3000.0,29150.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
David Giles,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758rg3x0h7a,5301.02,2301.02,0.0,4115.46,1185.56,3000.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
David H. McCrea,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw8044fd19cs,950.0,950.0,0.0,1613.62,19836.38,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
David J Foster,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qdn7an4e1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2026-08-04
David John Jones,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdgpxwtedt,551996.87,388207.51,138630.91,413365.96,0.0,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
David Potvin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01knsyfdnsetyrcbw079p8sbz7,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
David Roland Mongeau II,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8wmzh7dy,1000.98,1000.0,0.0,987.06,7255.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
David Sinclair,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7q2ysefn8tvdxq131wrxr4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
David Ulrich,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kpr44cfhfsvv1rk0cy7p2rc0,500.0,500.0,0.0,155.04,344.96,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
"David Wayne Boyer, Jr.",https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gchec793758pc2maqwk,15721.07,15594.22,126.85,3306.6,12287.62,0.0,0.0,42-Day Post-Primary Report,07/15/2026,07/14/2026,2026-08-04
David Wayne Guilmette,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0caxv1fsas,920.0,920.0,0.0,2231.78,10923.94,0.0,0.0,42-Day Post-Primary MCEA Report,08/03/2026,07/14/2026,2026-08-04
DEAN CRAY,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjfw883mfg58grpjdsqd46ee,2198.5,2198.5,0.0,0.0,2198.5,0.0,0.0,42-Day Post-Primary Report,07/20/2026,07/14/2026,2026-08-04
Deane Rykerson,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc28b2kj0,2885.0,2885.0,0.0,16014.93,0.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/14/2026,07/14/2026,2026-08-04
Dean LePage,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kna1kf0qeykvrk4ynzb3tgmg,0.0,0.0,0.0,25.0,8925.0,0.0,0.0,42-Day Post-Primary MCEA Report,07/20/2026,07/14/2026,2026-08-04
Debora Farnham,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjfq1cmjf3b9m3rgheh7cqnh,505.0,505.0,0.0,9.0,496.0,0.0,0.0,42-Day Post-Primary Report,07/21/2026,07/14/2026,2026-08-04
Denise Tepler,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zsb2b85fw,3000.0,3000.0,0.0,5221.58,8378.42,0.0,0.0,42-Day Post-Primary MCEA Report,07/17/2026,07/14/2026,2026-08-04
Derek Allen Levasseur,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qd6j9nk3m,24847.78,1335.0,480.78,24291.1,75.9,0.0,0.0,42-Day Post-Primary Report,08/03/2026,07/14/2026,2026-08-04
Devan Arnold,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kmr963pqesqrryyzjgg5yg4j,375.0,375.0,0.0,60.28,314.72,0.0,0.0,42-Day Post-Primary Report,07/19/2026,07/14/2026,2026-08-04
