candidate_name,filer_url,filing_name,filing_url,date_filed,report_type,reporting_period,total_contributions,total_monetary_contributions,total_inkind_contributions,total_expenditures,total_mcea_payments,return_of_mcea_funds,balance_beginning,balance_end,debt_balance,unitemized_total
Mallory Aaren Cook,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0ca3d1pazm,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0ca3d1pazm/filings/d_01kf4f3w4qe2jtscj5ynjm99f1,,Campaign Finance,"November 01, 2025 - December 31, 2025","$1,000.00","$1,000.00",$0.00,$0.00,,,$0.00,"$1,000.00",$0.00,$0.00
Nicole C Grohoski,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqfqnn445,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqfqnn445/filings/d_01ksmxtpqbep196dgs16z5k2rd,,Mcea Campaign Finance,"April 21, 2026 - May 26, 2026",,,,$0.00,"$2,648.44",$0.00,$1.56,"$2,650.00",$0.00,
Nicole C Grohoski,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqfqnn445,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqfqnn445/filings/d_01kppb2gsnfye8zdf183amh856,,Mcea Seed Money,"January 01, 2026 - April 20, 2026",$800.00,$800.00,$0.00,"$1,823.44",,,"$1,025.00",$1.56,$0.00,$0.00
Nicole C Grohoski,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqfqnn445,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqfqnn445/filings/d_01kf4f3w4re01aq3f5srbwr0e7,,Campaign Finance,"November 06, 2024 - December 31, 2025","$1,025.00","$1,025.00",$0.00,$0.00,,,$0.00,"$1,025.00",$0.00,$25.00
Charlotte Nutt,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqh9vc9yv,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqh9vc9yv/filings/d_01ksjrw8feea4ssranv9rmyrvs,,Mcea Campaign Finance,"April 23, 2026 - May 26, 2026",,,,$200.00,$662.22,$0.00,$12.78,$475.00,$0.00,
Charlotte Nutt,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqh9vc9yv,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqh9vc9yv/filings/d_01kpvyc2p1ec8r0gba1wqnz4vb,,Mcea Seed Money,"January 01, 2026 - April 21, 2026",$0.00,$0.00,$0.00,$987.22,,,"$1,000.00",$12.78,$0.00,$0.00
Charlotte Nutt,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqh9vc9yv,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqh9vc9yv/filings/d_01kpr7d263e3ktax0jzgsb3rea,,Mcea Seed Money,"January 01, 2026 - April 21, 2026",$50.00,$50.00,$0.00,"$1,037.22",,,"$1,000.00",$12.78,$0.00,$0.00
Charlotte Nutt,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqh9vc9yv,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zqh9vc9yv/filings/d_01kf4f3w4qe2jtscj4z56wwcv1,,Campaign Finance,"November 06, 2024 - December 31, 2025","$1,000.00","$1,000.00",$0.00,$0.00,,,$0.00,"$1,000.00",$0.00,$0.00
Nicolas John Hamlin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zr42jeg96,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zr42jeg96/filings/d_01kst89765fk5s478hyrb65ff2,,Mcea Campaign Finance,"March 05, 2026 - May 26, 2026",,,,"$1,700.34","$3,321.46",$0.00,,"$1,546.66",$0.00,
Nicolas John Hamlin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zr42jeg96,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zr42jeg96/filings/d_01ksp18q08fjt8sn7gay5xvna3,,Mcea Seed Money,"Unbounded - June 08, 2026","$1,000.00","$1,000.00",$0.00,"$2,760.83",,,$0.00,,$0.00,$0.00
PATRICK JUDE,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zscfjaahz,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zscfjaahz/filings/d_01kstz0xtxe6dvjbsmf651pmgr,,Mcea Campaign Finance,"April 17, 2026 - May 26, 2026",,,,$0.00,$600.00,$0.00,$75.00,$675.00,$0.00,
PATRICK JUDE,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zscfjaahz,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zscfjaahz/filings/d_01kpckz87berbtcxxsftbtmc74,,Mcea Seed Money,"Unbounded - April 16, 2026","$1,000.00","$1,000.00",$0.00,$925.00,,,$0.00,$75.00,$0.00,$908.25
Caleb Joseph Chase,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802fs32kqw,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802fs32kqw/filings/d_01kstfp4nmeqtrpv1vf1sk75aj,,Mcea Campaign Finance,"April 16, 2026 - May 26, 2026",,,,$114.47,$650.32,$0.00,$24.68,$560.53,$0.00,
Caleb Joseph Chase,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802fs32kqw,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802fs32kqw/filings/d_01kp959pydebc9wft092gdb8tf,,Mcea Seed Money,"Unbounded - April 15, 2026",$995.00,$995.00,$0.00,$970.32,,,$0.00,$24.68,$0.00,$45.00
Madison Cook,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803xgpvaxq,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803xgpvaxq/filings/d_01ksk3qm61er0vmbz938nh4pt7,,Mcea Campaign Finance,"April 17, 2026 - May 26, 2026",,,,$109.07,$674.49,$0.00,$0.51,$565.93,$893.75,
Madison Cook,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803xgpvaxq,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw803xgpvaxq/filings/d_01kpbw3268fvxrrhdp5hyrmvpj,,Mcea Seed Money,"Unbounded - April 16, 2026","$1,000.00","$1,000.00",$0.00,$999.49,,,$0.00,$0.51,$893.75,$0.00
Cameron Reny,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802r6qsmqj,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802r6qsmqj/filings/d_01ksmp2qmmfd08p4gm53ja59mk,,Mcea Campaign Finance,"April 21, 2026 - May 26, 2026",,,,$0.00,"$2,643.37",$0.00,$6.63,"$2,650.00",$0.00,
Cameron Reny,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802r6qsmqj,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw802r6qsmqj/filings/d_01kppa579wea2bxt2hxzh8ce5n,,Mcea Seed Money,"Unbounded - April 20, 2026",$200.00,$200.00,$0.00,$193.37,,,$0.00,$6.63,$0.00,$0.00
D. Michael Ray,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw804hsgnc0v,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw804hsgnc0v/filings/d_01ksn74mwdfz1t23mtht35sfn3,,Mcea Campaign Finance,"April 24, 2026 - May 26, 2026",,,,$0.00,$667.23,$0.00,$7.77,$675.00,$0.00,
D. Michael Ray,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw804hsgnc0v,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw804hsgnc0v/filings/d_01kpxqdsyafhg8jf3ahep35n8a,,Mcea Seed Money,"Unbounded - April 23, 2026","$1,000.00","$1,000.00",$0.00,$992.23,,,$0.00,$7.77,$0.00,$0.00
Alexandros Orestis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdjh195cxy,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdjh195cxy/filings/d_01ksk7fmcqf97rw64whgd1rsxw,,Mcea Campaign Finance,"April 15, 2026 - May 26, 2026",,,,$334.99,$673.34,$0.00,$1.66,$340.01,$0.00,
Alexandros Orestis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdjh195cxy,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdjh195cxy/filings/d_01kp67ygjwfka9zgxxjyccn47n,,Mcea Seed Money,"January 01, 2026 - April 14, 2026",$100.00,$0.00,$100.00,$656.34,,,$658.00,$1.66,$0.00,$0.00
Alexandros Orestis,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdjh195cxy,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdjh195cxy/filings/d_01kf4f3w4qe2jtscj5thgn3r1a,,Campaign Finance,"August 14, 2025 - December 31, 2025",$900.00,$800.00,$100.00,$142.00,,,$0.00,$658.00,$15.44,$0.00
Vaughn J Mclaughlin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhtvjtpxz,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhtvjtpxz/filings/d_01ksv07840f7er915v1t0jxyeh,,Mcea Campaign Finance,"April 21, 2026 - May 26, 2026",,,,$189.89,"$2,591.00",$0.00,$59.00,"$2,460.11",$0.00,
Vaughn J Mclaughlin,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhtvjtpxz,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdhtvjtpxz/filings/d_01kpptjbqpe5793yh0wae9fdhr,,Mcea Seed Money,"Unbounded - April 20, 2026","$1,634.00","$1,634.00",$0.00,"$1,575.00",,,$0.00,$59.00,$0.00,$0.00
Edwin M. Mitchell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zt07ztc0j,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zt07ztc0j/filings/d_01kstv0078edpt37yz2pwz2nxk,,Mcea Campaign Finance,"April 15, 2026 - May 26, 2026",,,,$0.00,"$1,943.18",$0.00,$706.82,"$2,650.00",$0.00,
Edwin M. Mitchell,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zt07ztc0j,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zt07ztc0j/filings/d_01kp690jsaffx9may4kbqx3eaq,,Mcea Seed Money,"Unbounded - April 14, 2026","$3,000.00","$3,000.00",$0.00,"$2,293.18",,,$0.00,$706.82,$0.00,$0.00
Randall Adam Greenwood,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvbb3aaqe,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvbb3aaqe/filings/d_01kstpqzt9e2jswftk0bbkaa4k,,Mcea Campaign Finance,"April 20, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Randall Adam Greenwood,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvbb3aaqe,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zvbb3aaqe/filings/d_01kpm6zxahevgsmr201tzg10g8,,Mcea Seed Money,"Unbounded - April 19, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Louis Samuel Pfeifle,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zw65qdny7,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zw65qdny7/filings/d_01kstfny1zf4zvqcf50b5ps6vy,,Mcea Campaign Finance,"April 20, 2026 - May 26, 2026",,,,$5.00,$668.28,$0.00,$6.72,$670.00,$0.00,
Louis Samuel Pfeifle,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zw65qdny7,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zw65qdny7/filings/d_01kp4ghft8eagrjkjb5bm398an,,Mcea Seed Money,"Unbounded - April 19, 2026","$1,000.00",$900.00,$100.00,$893.28,,,$0.00,$6.72,$0.00,$0.00
Karin Orenstein,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52d1pje9sasn3zdh2k5k9z,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52d1pje9sasn3zdh2k5k9z/filings/d_01ks0x0z07emztd1n4qxpx398v,,Mcea Campaign Finance,"April 16, 2026 - May 26, 2026",,,,$0.00,$674.88,$0.00,$0.12,$675.00,$0.00,
Karin Orenstein,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52d1pje9sasn3zdh2k5k9z,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh52d1pje9sasn3zdh2k5k9z/filings/d_01kp90d709eqjsrh50y3x2189z,,Mcea Seed Money,"Unbounded - April 15, 2026","$1,000.00","$1,000.00",$0.00,$999.88,,,$0.00,$0.12,$0.00,$200.00
Ann Higgins Matlack,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qabe2se84,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qabe2se84/filings/d_01ksqr88xnffssthjyv2r4rg4t,,Mcea Campaign Finance,"April 17, 2026 - May 26, 2026",,,,$0.00,"$2,650.00",$0.00,$0.00,"$2,650.00",$0.00,
Ann Higgins Matlack,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qabe2se84,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qabe2se84/filings/d_01kpbdgw9kf6ktrb3dvp4epdv4,,Mcea Seed Money,"Unbounded - April 16, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
David Roland Mongeau II,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8wmzh7dy,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8wmzh7dy/filings/d_01ksr63zzre088jdb0f4jxttjg,,Mcea Campaign Finance,"April 30, 2026 - May 26, 2026",,,,$0.00,$616.58,$0.00,$57.92,$674.50,$0.00,
David Roland Mongeau II,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8wmzh7dy,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8wmzh7dy/filings/d_01ksr6brgmfs59a0vrhvmw8e5g,,Mcea Seed Money,"Unbounded - April 27, 2026","$1,000.98","$1,000.00",$0.00,$943.06,,,$0.00,$57.92,$0.00,$0.00
David Roland Mongeau II,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8wmzh7dy,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61q8wmzh7dy/filings/d_01kqcnc737e9xsg96swnm6qrw3,,Mcea Seed Money,"Unbounded - April 27, 2026","$1,000.98","$1,000.00",$0.00,$942.56,,,$0.00,$58.42,$0.00,$0.00
Victoria Porter Kornfield,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807zy2jp5w,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807zy2jp5w/filings/d_01ksqcd5pwfcfr92qxfv5wzjay,,Mcea Campaign Finance,"April 16, 2026 - May 26, 2026",,,,"$2,784.80",$0.00,$0.00,"$3,325.00",$540.20,$0.00,
Victoria Porter Kornfield,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807zy2jp5w,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw807zy2jp5w/filings/d_01kp8kg30sev9tyzjzyjr2drqt,,Mcea Seed Money,"Unbounded - April 15, 2026",$725.00,$725.00,$0.00,$723.00,,,$0.00,$2.00,$0.00,$25.00
Frank Joseph Casella,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zy6jmmzc7,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zy6jmmzc7/filings/d_01ksr2k05nefmsyqemw3vrr3p1,,Mcea Campaign Finance,"April 13, 2026 - May 26, 2026",,,,"$1,317.04","$3,325.00",$0.00,$0.00,"$2,007.96",$0.00,
Frank Joseph Casella,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zy6jmmzc7,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zy6jmmzc7/filings/d_01kp1ctdv2ebss4wjyh7en4dqq,,Mcea Seed Money,"Unbounded - April 12, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Kristine A. Poland,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zyac045ck,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zyac045ck/filings/d_01kst6x9grfpw86rnc0yqwf5jj,,Mcea Campaign Finance,"April 27, 2026 - May 26, 2026",,,,$50.00,$666.95,$0.00,$8.05,$625.00,$0.00,
Kristine A. Poland,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zyac045ck,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7zyac045ck/filings/d_01kq5ak0a0f2n9syk6k4rnyf60,,Mcea Seed Money,"Unbounded - April 26, 2026","$1,000.00","$1,000.00",$0.00,$991.95,,,$0.00,$8.05,$0.00,$0.00
Kerryl Lee Clement,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztxa2qsgj,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztxa2qsgj/filings/d_01ks1jxmbgfm29j6b2j9jykwzn,,Mcea Campaign Finance,"April 04, 2026 - May 26, 2026",,,,$0.00,$674.63,$0.00,$0.37,$675.00,$0.00,
Kerryl Lee Clement,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztxa2qsgj,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztxa2qsgj/filings/d_01knacb701e7tvhnwxe50g8k4e,,Mcea Seed Money,"Unbounded - April 03, 2026","$1,000.00","$1,000.00",$0.00,$999.63,,,$0.00,$0.37,$0.00,$0.00
Katie Brydon,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvrhqj1eccv4m244ck7617q,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvrhqj1eccv4m244ck7617q/filings/d_01kst5w0r7esj8azc750jzkzwp,,Mcea Campaign Finance,"April 16, 2026 - May 26, 2026",,,,"$1,568.35","$3,325.00",$0.00,$0.00,"$1,756.65",$0.00,
Katie Brydon,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvrhqj1eccv4m244ck7617q,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvrhqj1eccv4m244ck7617q/filings/d_01kp9e2y7kerct1f1q949jcn3x,,Mcea Seed Money,"Unbounded - April 15, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Mary Shannon Lindstrom,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvnk58we98swfgc2j11awmw,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvnk58we98swfgc2j11awmw/filings/d_01ksmsmxrvf5hvfzc2xd72mpbn,,Mcea Campaign Finance,"April 17, 2026 - May 26, 2026",,,,$308.84,$673.29,$0.00,$1.71,$366.16,$0.00,
Mary Shannon Lindstrom,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvnk58we98swfgc2j11awmw,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01khvnk58we98swfgc2j11awmw/filings/d_01kpbx4hasek9te3z3dr490tdp,,Mcea Seed Money,"Unbounded - April 16, 2026","$1,000.00","$1,000.00",$0.00,$998.29,,,$0.00,$1.71,$0.00,$15.00
Michael Tipping,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc990a1zp,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qc990a1zp/filings/d_01ksqvjbr1ew3v2n2agg23pj0e,,Mcea Campaign Finance,"April 21, 2026 - May 26, 2026",,,,"$1,082.59","$2,650.00",$0.00,$0.00,"$1,567.41",$0.00,
