candidate_name,candidate_id,office,district,party,committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,disbursement_description,disbursement_purpose_category,disbursement_date,disbursement_amount,disbursement_type_description,memo_text,line_number_label
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,RED CURVE SOLUTIONS LLC,BEVERLY,MA,01915,COMPLIANCE CONSULTING,OTHER,2024-04-26,1523.57,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,COMCAST,WILMINGTON,MA,01887,UTILITIES,OTHER,2024-04-26,205.88,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,4DC AUGUSTA LLC,SPRINGVALE,ME,04083,"PRINTING: SIGNS, RACK CARDS, LAPEL STICKERS & SHIRTS",ADVERTISING,2024-04-26,3700.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-04-25,44.32,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,SUNSET SIGNS INC,BRUNSWICK,ME,04011,COLLATERAL:SIGNS,OTHER,2024-04-25,438.86,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-04-23,0.99,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-04-17,1.58,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-04-16,260.04,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-04-15,3.15,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,STAPLES,BRUNSWICK,ME,04011,POPP REIMBURSEMENT: OFFICE SUPPLIES,ADMINISTRATIVE,2024-04-12,106.62,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-04-12,4.92,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-04-09,1.64,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-04-04,3.28,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-04-03,0.04,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-03-27,19.7,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-03-25,2.05,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-03-19,43.34,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-03-15,19.7,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"POPP, CHRISTOPHER",NEWCASTLE,ME,04553,IN-KIND - POLITICAL STRATEGY CONSULTING,OTHER,2024-03-01,1200.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"ADAMS, CRYSTAL",LEBANON,ME,04027,IN-KIND - EVENT MANAGEMENT CONSULTING,OTHER,2024-03-01,1200.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-02-27,3.94,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-02-23,5.91,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,RED CURVE SOLUTIONS LLC,BEVERLY,MA,01915,COMPLIANCE CONSULTING & DATA PROCESSING SERVICES,OTHER,2024-02-22,4677.22,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"PIANTIDOSI, ANDREW",PORTLAND,ME,04104,CANDIDATE REIMBURSEMENT: SEE ITEMIZATION(S) IF REQUIRED,OTHER,2024-02-22,1867.84,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,DIMILLO'S ON THE WATER,PORTLAND,ME,04101,TRAVEL: MEALS,TRAVEL,2024-02-21,312.7,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-02-14,3.94,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-02-13,3.94,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-02-12,3.94,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-02-01,3.94,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"HOOPER, RICHARD",SABBATUS,ME,04280,IN-KIND - WEB HOSTING & MAINTENANCE,OTHER,2024-02-01,3300.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"GILBERT, DAWN",BOOTHBAY,ME,04537,IN-KIND - FIELD CONSULTING & OFFICE SUPPLIES,ADMINISTRATIVE,2024-02-01,500.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-01-18,0.99,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2024-01-05,3.94,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"POPP, STEPHEN",NEWCASTLE,ME,04553,IN-KIND - POLITICAL STRATEGY CONSULTING,OTHER,2024-01-01,3200.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"POPP, NICHOLAS",NEWCASTLE,ME,04553,IN-KIND - DESIGN CONSULTING,OTHER,2024-01-01,1300.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"DONNARUMA, JUSTIN",TOPSHAM,ME,04086,IN-KIND - WEB HOSTING,OTHER,2024-01-01,3300.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"DONNARUMA, DEZARE",TOPSHAM,ME,04086,IN-KIND - WEB HOSTING,OTHER,2024-01-01,3300.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-12-15,19.7,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-12-14,19.7,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-12-11,7.88,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-12-08,39.4,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-12-07,19.7,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,ANCHOR RENTALS,BRUNSWICK,ME,04074,PIANTIDOSI REIMBURSEMENT:RENT,ADMINISTRATIVE,2023-12-02,800.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-11-27,3.94,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-11-20,19.7,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-11-17,78.8,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-11-14,1.97,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-11-13,0.04,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,ANCHOR RENTALS,BRUNSWICK,ME,04074,PIANTIDOSI REIMBURSEMENT: RENT,ADMINISTRATIVE,2023-11-02,800.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"PIANTIDOSI, ANDREW",PORTLAND,ME,04104,REIMBURSEMENT: SEE ITEMIZATION(S) IF REQUIRED,OTHER,2023-10-23,1052.87,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-10-18,0.04,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,MAILCHIMP,ATLANTA,GA,30308,REIMBURSEMENT [SB17.4412]: EMAIL SERVICES,OTHER,2023-10-13,100.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"PIANTIDOSI, ANDREW",PORTLAND,ME,04104,REIMBURSEMENT [SB17.4412]: TRAVEL: MILEAGE,OTHER,2023-09-29,362.87,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-09-22,5.91,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-09-15,23.64,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,RED CURVE SOLUTIONS LLC,BEVERLY,MA,01915,COMPLIANCE CONSULTING & DATA PROCESSING SERVICES,OTHER,2023-09-14,3022.85,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,CONCORD GROUP INSURANCE,BEDFORD,NH,03110,REIMBURSEMENT [SB17.4412]: INSURANCE,OTHER,2023-09-13,560.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-09-01,39.4,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-08-31,3.94,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,"PIANTIDOSI, ANDREW",CAPE ELIZABETH,ME,04107,REIMBURSEMENT: SEE ITEMIZATIONS IF REQUIRED,OTHER,2023-08-30,3048.43,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,MICROSOFT,REDMOND,WA,98052,SOFTWARE,OTHER,2023-08-22,105.49,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-08-16,59.1,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-08-14,3.94,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,MAILCHIMP,ATLANTA,GA,30308,EMAIL SERVICES,OTHER,2023-08-13,100.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,MAILCHIMP,ATLANTA,GA,30308,EMAIL SERVICES,OTHER,2023-08-13,100.0,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-08-11,3.94,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WALMART,BENTONVILLE,AR,72716,OFFICE SUPPLIES,ADMINISTRATIVE,2023-08-03,12.64,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WINRED TECHNICAL SERVICES LLC,ARLINGTON,VA,22209,MERCHANT FEES,OTHER,2023-08-02,1.97,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,LOWES,MOORESVILLE,NC,28117,OFFICE SUPPLIES,ADMINISTRATIVE,2023-08-02,113.73,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WALMART,BENTONVILLE,AR,72716,OFFICE SUPPLIES,ADMINISTRATIVE,2023-07-31,92.67,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,WALMART,BENTONVILLE,AR,72716,OFFICE SUPPLIES,ADMINISTRATIVE,2023-07-31,84.67,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,LOWES,MOORESVILLE,NC,28117,OFFICE SUPPLIES,ADMINISTRATIVE,2023-07-31,68.54,,,Operating Expenditures
"PIANTIDOSI, ANDREW",H4ME01152,House,01,REPUBLICAN PARTY,C00842708,HOME DEPOT,ATLANTA,GA,30339,OFFICE SUPPLIES,ADMINISTRATIVE,2023-07-31,33.65,,,Operating Expenditures
