candidate_name,candidate_id,office,district,committee_id,report_type,report_year,coverage_start_date,coverage_end_date,receipt_date,total_receipts,total_disbursements,cash_on_hand,pdf_url,document_description
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-10-31T00:00:00,,,,https://docquery.fec.gov/pdf/043/202410319719863043/202410319719863043.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-10-30T00:00:00,,,,https://docquery.fec.gov/pdf/359/202410309719846359/202410309719846359.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-10-28T00:00:00,,,,https://docquery.fec.gov/pdf/782/202410289719663782/202410289719663782.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-10-27T00:00:00,,,,https://docquery.fec.gov/pdf/193/202410279719661193/202410279719661193.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-10-26T00:00:00,,,,https://docquery.fec.gov/pdf/609/202410269719659609/202410269719659609.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-10-25T00:00:00,,,,https://docquery.fec.gov/pdf/585/202410259719623585/202410259719623585.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,PRE-GENERAL,2024,2024-10-01,2024-10-16,2024-10-24T00:00:00,,,,https://docquery.fec.gov/pdf/633/202410249713463633/202410249713463633.pdf,PRE-GENERAL 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-10-24T00:00:00,,,,https://docquery.fec.gov/pdf/962/202410249710284962/202410249710284962.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,PRE-GENERAL,2024,2024-10-01,2024-10-16,2024-10-24T00:00:00,493179.2,989884.06,1075802.14,https://docquery.fec.gov/pdf/374/202410249713461374/202410249713461374.pdf,PRE-GENERAL 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-10-23T00:00:00,,,,https://docquery.fec.gov/pdf/771/202410239710135771/202410239710135771.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-10-21T00:00:00,,,,https://docquery.fec.gov/pdf/000/202410219710022000/202410219710022000.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-10-20T00:00:00,,,,https://docquery.fec.gov/pdf/486/202410209699282486/202410209699282486.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-10-19T00:00:00,,,,https://docquery.fec.gov/pdf/083/202410199699224083/202410199699224083.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,OCTOBER QUARTERLY,2024,2024-07-01,2024-09-30,2024-10-15T00:00:00,,,,https://docquery.fec.gov/pdf/903/202410159697922903/202410159697922903.pdf,OCTOBER QUARTERLY 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,OCTOBER QUARTERLY,2024,2024-07-01,2024-09-30,2024-10-15T00:00:00,1816105.71,3532707.36,1572507.0,https://docquery.fec.gov/pdf/887/202410159697919887/202410159697919887.pdf,OCTOBER QUARTERLY 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,,2024,,,2024-10-09T00:00:00,,,,https://docquery.fec.gov/pdf/262/202410099684834262/202410099684834262.pdf,Miscellaneous Report to FEC 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,JULY QUARTERLY,2024,2024-05-23,2024-06-30,2024-10-09T00:00:00,1049717.16,173383.14,3289108.65,https://docquery.fec.gov/pdf/507/202410099684833507/202410099684833507.pdf,JULY QUARTERLY 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,JULY QUARTERLY,2024,2024-05-23,2024-06-30,2024-09-04T00:00:00,,,,https://docquery.fec.gov/pdf/547/202409040300220547/202409040300220547.pdf,RFAI: JULY QUARTERLY 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,,2024,,,2024-08-29T00:00:00,,,,https://docquery.fec.gov/pdf/306/202408299675310306/202408299675310306.pdf,Statement of Organization 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,JULY QUARTERLY / SEMI-ANNUAL,2024,2024-05-23,2024-06-30,2024-07-15T00:00:00,,,,https://docquery.fec.gov/pdf/552/202407159660856552/202407159660856552.pdf,JULY QUARTERLY / SEMI-ANNUAL 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,JULY QUARTERLY,2024,2024-05-23,2024-06-30,2024-07-15T00:00:00,1049717.16,173383.14,3289108.65,https://docquery.fec.gov/pdf/083/202407159660855083/202407159660855083.pdf,JULY QUARTERLY 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,,2024,,,2024-06-17T00:00:00,,,,https://docquery.fec.gov/pdf/168/202406179649033168/202406179649033168.pdf,Statement of Organization 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-06-10T00:00:00,,,,https://docquery.fec.gov/pdf/010/202406109648916010/202406109648916010.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-06-09T00:00:00,,,,https://docquery.fec.gov/pdf/389/202406099648915389/202406099648915389.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-06-08T00:00:00,,,,https://docquery.fec.gov/pdf/730/202406089648914730/202406089648914730.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-06-06T00:00:00,,,,https://docquery.fec.gov/pdf/026/202406069648855026/202406069648855026.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-06-05T00:00:00,,,,https://docquery.fec.gov/pdf/178/202406059648848178/202406059648848178.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-06-04T00:00:00,,,,https://docquery.fec.gov/pdf/575/202406049648846575/202406049648846575.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-06-01T00:00:00,,,,https://docquery.fec.gov/pdf/689/202406019648838689/202406019648838689.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-05-30T00:00:00,,,,https://docquery.fec.gov/pdf/097/202405309648802097/202405309648802097.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,PRE-PRIMARY,2024,2024-04-01,2024-05-22,2024-05-30T00:00:00,470953.46,214618.26,2412774.63,https://docquery.fec.gov/pdf/516/202405309648815516/202405309648815516.pdf,PRE-PRIMARY 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-05-26T00:00:00,,,,https://docquery.fec.gov/pdf/817/202405269648781817/202405269648781817.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2024,,,2024-05-25T00:00:00,,,,https://docquery.fec.gov/pdf/699/202405259648781699/202405259648781699.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,APRIL QUARTERLY,2024,2024-01-01,2024-03-31,2024-04-15T00:00:00,,,,https://docquery.fec.gov/pdf/603/202404159632787603/202404159632787603.pdf,APRIL QUARTERLY 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,APRIL QUARTERLY,2024,2024-01-01,2024-03-31,2024-04-15T00:00:00,1057416.12,337491.23,2156439.43,https://docquery.fec.gov/pdf/466/202404159632788466/202404159632788466.pdf,APRIL QUARTERLY 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,QUARTERLY YEAR END / SEMI-ANN,2023,2023-10-01,2023-12-31,2024-01-31T00:00:00,,,,https://docquery.fec.gov/pdf/927/202401319608137927/202401319608137927.pdf,QUARTERLY YEAR END / SEMI-ANN 2023
"GOLDEN, JARED",H8ME02185,House,02,C00653816,YEAR-END,2023,2023-10-01,2023-12-31,2024-01-31T00:00:00,755521.45,196866.65,1436514.54,https://docquery.fec.gov/pdf/932/202401319608140932/202401319608140932.pdf,YEAR-END 2023
"GOLDEN, JARED",H8ME02185,House,02,C00653816,,2024,,,2024-01-08T00:00:00,,,,https://docquery.fec.gov/pdf/313/202401089599989313/202401089599989313.pdf,Statement of Organization 2024
"GOLDEN, JARED",H8ME02185,House,02,C00653816,OCTOBER QUARTERLY,2023,2023-07-01,2023-09-30,2023-10-15T00:00:00,558529.1,291819.98,877859.74,https://docquery.fec.gov/pdf/005/202310159598061005/202310159598061005.pdf,OCTOBER QUARTERLY 2023
"GOLDEN, JARED",H8ME02185,House,02,C00653816,OCTOBER QUARTERLY,2023,2023-07-01,2023-09-30,2023-10-15T00:00:00,,,,https://docquery.fec.gov/pdf/290/202310159598067290/202310159598067290.pdf,OCTOBER QUARTERLY 2023
"GOLDEN, JARED",H8ME02185,House,02,C00653816,,2023,,,2023-08-17T00:00:00,,,,https://docquery.fec.gov/pdf/958/202308179596583958/202308179596583958.pdf,Statement of Organization 2023
"GOLDEN, JARED",H8ME02185,House,02,C00653816,JULY QUARTERLY / SEMI-ANNUAL,2023,2023-04-01,2023-06-30,2023-07-15T00:00:00,,,,https://docquery.fec.gov/pdf/345/202307159583546345/202307159583546345.pdf,JULY QUARTERLY / SEMI-ANNUAL 2023
"GOLDEN, JARED",H8ME02185,House,02,C00653816,JULY QUARTERLY,2023,2023-04-01,2023-06-30,2023-07-15T00:00:00,545871.91,174000.01,611150.62,https://docquery.fec.gov/pdf/048/202307159583546048/202307159583546048.pdf,JULY QUARTERLY 2023
"GOLDEN, JARED",H8ME02185,House,02,C00653816,APRIL QUARTERLY,2023,2023-01-01,2023-03-31,2023-04-15T00:00:00,315689.26,111100.8,239278.72,https://docquery.fec.gov/pdf/834/202304159580932834/202304159580932834.pdf,APRIL QUARTERLY 2023
"GOLDEN, JARED",H8ME02185,House,02,C00653816,,2023,,,2023-04-10T00:00:00,,,,https://docquery.fec.gov/pdf/705/202304109579737705/202304109579737705.pdf,Statement of Organization 2023
"GOLDEN, JARED",H8ME02185,House,02,C00653816,YEAR-END,2022,2022-11-29,2022-12-31,2023-01-31T00:00:00,8085.32,57093.52,34690.26,https://docquery.fec.gov/pdf/217/202301319575712217/202301319575712217.pdf,YEAR-END 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,QUARTERLY SEMI-ANNUAL (YE),2022,2022-11-29,2022-12-31,2023-01-31T00:00:00,,,,https://docquery.fec.gov/pdf/316/202301319575746316/202301319575746316.pdf,QUARTERLY SEMI-ANNUAL (YE) 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,POST-GENERAL,2022,2022-10-20,2022-11-28,2022-12-08T00:00:00,433360.0,1207983.84,83698.46,https://docquery.fec.gov/pdf/426/202212089550428426/202212089550428426.pdf,POST-GENERAL 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,,2022,,,2022-11-18T00:00:00,,,,https://docquery.fec.gov/pdf/919/202211189546827919/202211189546827919.pdf,Statement of Organization 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2022,,,2022-11-06T00:00:00,,,,https://docquery.fec.gov/pdf/577/202211069546714577/202211069546714577.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2022,,,2022-11-05T00:00:00,,,,https://docquery.fec.gov/pdf/815/202211059546711815/202211059546711815.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2022,,,2022-11-04T00:00:00,,,,https://docquery.fec.gov/pdf/519/202211049546709519/202211049546709519.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2022,,,2022-11-03T00:00:00,,,,https://docquery.fec.gov/pdf/600/202211039546703600/202211039546703600.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2022,,,2022-11-02T00:00:00,,,,https://docquery.fec.gov/pdf/390/202211029546700390/202211029546700390.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2022,,,2022-10-31T00:00:00,,,,https://docquery.fec.gov/pdf/024/202210319546678024/202210319546678024.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2022,,,2022-10-30T00:00:00,,,,https://docquery.fec.gov/pdf/854/202210309546674854/202210309546674854.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2022,,,2022-10-29T00:00:00,,,,https://docquery.fec.gov/pdf/606/202210299546673606/202210299546673606.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2022,,,2022-10-28T00:00:00,,,,https://docquery.fec.gov/pdf/482/202210289546668482/202210289546668482.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2022,,,2022-10-27T00:00:00,,,,https://docquery.fec.gov/pdf/027/202210279543257027/202210279543257027.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,PRE-GENERAL,2022,2022-10-01,2022-10-19,2022-10-27T00:00:00,499187.59,920051.19,858322.3,https://docquery.fec.gov/pdf/870/202210279543253870/202210279543253870.pdf,PRE-GENERAL 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2022,,,2022-10-26T00:00:00,,,,https://docquery.fec.gov/pdf/821/202210269541693821/202210269541693821.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2022,,,2022-10-24T00:00:00,,,,https://docquery.fec.gov/pdf/464/202210249541522464/202210249541522464.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2022,,,2022-10-23T00:00:00,,,,https://docquery.fec.gov/pdf/821/202210239541500821/202210239541500821.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED,2022,,,2022-10-22T00:00:00,,,,https://docquery.fec.gov/pdf/134/202210229541496134/202210229541496134.pdf,48-HOUR NOTICE OF CONTRIBUTIONS OR LOANS RECEIVED 2022
"GOLDEN, JARED",H8ME02185,House,02,C00653816,OCTOBER QUARTERLY,2022,2022-07-01,2022-09-30,2022-10-15T00:00:00,1376169.14,2404866.09,1279185.9,https://docquery.fec.gov/pdf/905/202210159536896905/202210159536896905.pdf,OCTOBER QUARTERLY 2022
